word_of_interest,1999,2000,2001,2002,2003,2004,2005,2006
agua,5,12,39,14,29,13,2,23
barrio,0,0,3,1,2,16,38,34
campesino,2,4,2,3,4,0,4,3
civico-militar,0,1,4,2,5,4,2,2
colectivo,3,2,11,10,3,2,1,6
comunismo,0,0,2,0,1,0,0,1
consitucion,0,0,0,0,0,0,0,0
corrupcion,1,1,7,18,6,4,6,13
crimen,0,0,1,0,0,0,0,0
crisis,21,6,2,1,22,11,5,3
democracia,10,5,41,30,39,12,32,34
educacion,0,12,29,36,80,14,23,40
electricidad,0,0,4,1,4,0,0,2
escasez,0,0,0,0,1,0,0,0
etica,1,1,3,8,6,3,1,2
expropiar,0,0,1,0,1,0,0,0
fascista,0,0,0,0,28,4,0,0
golpe,0,0,1,2,104,6,11,18
imperialismo,0,0,0,0,3,2,25,28
imperio,0,2,7,0,11,5,20,42
imperio,0,2,7,0,11,5,20,42
infierno,1,8,3,6,4,4,0,5
inflacion,1,0,11,24,7,1,17,13
luz,1,1,2,5,6,1,2,3
medios,0,0,20,35,30,7,6,13
muerte,9,10,29,11,27,19,8,24
nacionalizar,0,0,0,0,0,0,0,0
neoliberalismo,2,0,13,19,31,8,7,3
oposicion,0,0,4,5,47,13,11,13
panamazonico,0,0,0,0,0,18,0,0
patria,19,9,11,5,122,20,34,31
paz,13,11,46,62,46,9,10,24
petroleo,4,2,56,54,67,29,21,54
pobreza,2,1,12,33,28,15,14,61
poder,8,7,36,37,99,18,26,65
produccion,3,0,38,34,66,7,20,13
pueblo,104,100,256,156,579,152,172,193
regimen,0,0,18,2,12,0,0,0
revolucion,8,36,46,119,120,39,51,44
soberania,8,4,16,21,24,2,47,16
socialismo,0,0,0,2,2,0,4,18
trabajadores,1,0,44,14,60,10,9,15